Id,MSSubClass,MSZoning,LotFrontage,LotArea,Neighborhood,LotShape,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrType,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,Alley,MoSold,YrSold,SaleType,SaleCondition,Exterior1st,Exterior2nd,Utilities,SalePrice
15,120,RL,39.0,7337.0,CollgCr,Reg,Mod,6,3,1933,1973,,100.0,Gd,TA,TA,Gd,No,ALQ,742,973,1827,Ex,N,SBrkr,922,900,1674,0,0,2,0,5,Gd,7,Min1,2,TA,Detchd,1980.0,RFn,0,273,,TA,Y,165,82,137,0,2,500,,,,,4,2006,WD,Normal,HdBoard,VinylSd,AllPub,186331.0
16,70,RL,71.0,8358.0,CollgCr,IR1,Sev,10,3,1979,1978,Stone,0.0,Fa,Fa,TA,TA,No,Unf,1127,637,1811,Gd,Y,SBrkr,1349,900,1701,1,0,3,1,5,TA,8,Min1,0,TA,Attchd,1995.0,RFn,0,57,TA,,Y,393,231,36,0,63,0,,,,,4,2006,WD,Normal,Wd Sdng,VinylSd,AllPub,283050.0
17,70,RM,47.0,12774.0,CollgCr,IR2,Mod,9,8,1912,1985,,0.0,Fa,Gd,Gd,TA,Av,Unf,471,560,1111,Gd,Y,SBrkr,1004,0,957,1,0,3,1,5,TA,5,Typ,0,,Attchd,1980.0,RFn,3,157,TA,Gd,Y,312,267,16,0,43,0,,,,,9,2009,WD,Abnorml,VinylSd,Wd Sdng,AllPub,225371.0
18,70,RL,43.0,9810.0,OldTown,Reg,Mod,6,6,1933,1967,BrkFace,100.0,TA,Gd,Gd,TA,No,ALQ,690,591,1298,Ex,Y,SBrkr,1965,1200,2931,1,0,1,1,5,TA,7,Min1,1,,Detchd,2005.0,RFn,1,554,TA,TA,Y,198,185,91,0,99,500,,,,,4,2006,WD,Abnorml,VinylSd,HdBoard,AllPub,238195.0
19,70,FV,65.0,9486.0,Somerst,IR1,Mod,9,7,1937,2009,Stone,0.0,TA,Fa,TA,Gd,Gd,GLQ,708,937,1644,TA,Y,SBrkr,721,1200,3816,0,0,1,0,4,TA,11,Typ,2,TA,Detchd,1980.0,Fin,3,19,TA,Gd,Y,293,170,155,0,137,0,,,,,1,2009,WD,Abnorml,HdBoard,HdBoard,AllPub,357257.0
20,120,RM,116.0,9699.0,NAmes,Reg,Gtl,10,4,1983,1987,,200.0,Ex,Fa,Gd,TA,Av,ALQ,372,323,1187,Gd,Y,SBrkr,1769,0,4395,1,1,1,1,1,TA,8,Typ,2,TA,Attchd,1995.0,Fin,3,138,TA,Gd,Y,122,179,33,0,131,0,,MnPrv,,,9,2006,New,Normal,HdBoard,VinylSd,AllPub,392319.0
21,60,FV,76.0,5944.0,Somerst,Reg,Gtl,9,3,1953,1968,Stone,200.0,Fa,TA,Gd,Gd,No,GLQ,99,700,1195,TA,Y,SBrkr,590,1200,2725,0,0,1,1,2,TA,10,Mod,0,Gd,Detchd,1995.0,,1,91,Gd,,Y,143,214,110,0,74,0,,,Shed,,11,2009,WD,Normal,HdBoard,HdBoard,AllPub,296502.0
22,120,RL,85.0,7968.0,Somerst,IR1,Sev,3,5,1975,1993,BrkFace,0.0,Fa,TA,TA,TA,Gd,Unf,804,489,403,TA,Y,SBrkr,648,0,1688,1,1,1,1,4,Gd,7,Typ,1,TA,Attchd,1995.0,RFn,1,308,,TA,Y,107,85,64,0,12,0,,,Shed,,7,2007,New,Normal,Wd Sdng,VinylSd,AllPub,156340.0
23,70,RL,74.0,6721.0,OldTown,IR2,Gtl,5,5,1987,2000,Stone,100.0,TA,Fa,Gd,TA,Av,,971,999,1090,Ex,Y,SBrkr,1451,900,4299,0,1,3,1,3,TA,9,Min1,1,,Attchd,1980.0,RFn,0,312,TA,TA,Y,254,165,82,0,59,0,,,,,2,2009,New,Abnorml,VinylSd,Wd Sdng,AllPub,308159.0
24,20,RL,86.0,9502.0,OldTown,Reg,Gtl,10,7,1970,1990,BrkFace,0.0,Ex,Fa,TA,TA,No,Unf,865,886,1839,Ex,Y,SBrkr,1827,600,2010,1,0,2,1,3,TA,7,Min1,1,,Detchd,1980.0,Fin,2,602,Gd,TA,Y,171,279,196,0,112,500,,,,,10,2008,WD,Abnorml,VinylSd,Wd Sdng,AllPub,300040.0
25,60,RM,43.0,7607.0,Somerst,IR1,Mod,10,7,1919,1973,,0.0,Fa,TA,Gd,TA,No,ALQ,663,673,566,TA,Y,SBrkr,1769,900,1129,0,0,2,1,3,Ex,10,Min1,0,TA,Attchd,2005.0,Fin,1,813,TA,TA,Y,291,0,121,0,122,0,,,,,7,2007,WD,Normal,VinylSd,HdBoard,AllPub,227305.0
26,120,RL,61.0,8838.0,CollgCr,IR1,Mod,3,6,1901,2005,,,TA,Gd,TA,TA,No,Unf,1173,289,104,Ex,N,SBrkr,1859,1200,1835,0,0,2,0,4,TA,9,Min1,0,Gd,Attchd,1995.0,RFn,2,1,TA,,P,376,70,14,0,132,500,,,,,4,2008,WD,Normal,Wd Sdng,HdBoard,AllPub,129849.0
27,70,RL,75.0,8750.0,CollgCr,IR2,Mod,3,5,1958,1978,,0.0,TA,TA,TA,TA,Mn,,289,879,796,TA,Y,SBrkr,1714,0,2856,0,0,3,1,3,Ex,3,Mod,1,,Attchd,2005.0,RFn,0,707,,TA,Y,201,116,51,0,81,0,,,,Grvl,3,2010,New,Normal,HdBoard,Wd Sdng,AllPub,196204.0
28,20,RL,70.0,8858.0,Somerst,Reg,Gtl,8,4,1989,1978,Stone,100.0,Fa,TA,TA,Gd,No,ALQ,459,480,1681,TA,Y,,989,0,919,0,1,1,1,5,Gd,3,Min1,0,,Attchd,1995.0,RFn,3,389,TA,Gd,N,314,22,170,0,26,0,,,,,7,2007,WD,Normal,HdBoard,HdBoard,AllPub,240472.0
29,120,RL,66.0,8862.0,NAmes,IR1,Mod,6,3,1914,1952,,200.0,Ex,Fa,Ex,TA,No,GLQ,478,465,512,Gd,Y,SBrkr,2036,1200,4363,1,0,1,0,3,TA,4,Mod,0,,Detchd,1995.0,Fin,3,287,Gd,TA,Y,269,41,195,0,12,0,,,,,9,2006,WD,Normal,Wd Sdng,Wd Sdng,AllPub,318263.0
30,70,RL,57.0,7363.0,OldTown,IR1,Mod,8,3,1968,1993,BrkFace,100.0,Ex,TA,Ex,TA,No,ALQ,1027,135,1977,TA,Y,SBrkr,1915,900,3027,1,0,3,1,4,TA,3,Mod,2,,Attchd,1980.0,RFn,1,450,TA,TA,Y,4,86,94,0,91,0,,MnPrv,,,9,2010,WD,Partial,Wd Sdng,HdBoard,AllPub,329882.0
31,120,RM,65.0,6528.0,Somerst,IR1,Sev,10,8,1974,1957,BrkFace,0.0,TA,Gd,Ex,TA,Av,Unf,297,280,1436,TA,Y,SBrkr,677,900,1665,1,0,1,1,2,TA,4,Typ,2,,Attchd,1995.0,RFn,1,154,TA,Gd,Y,76,151,97,0,28,0,,,,,3,2006,WD,Partial,HdBoard,VinylSd,AllPub,299206.0
32,20,RL,55.0,7337.0,CollgCr,Reg,Mod,9,4,1966,1960,BrkFace,0.0,TA,Fa,Gd,TA,Mn,Unf,709,736,715,TA,Y,SBrkr,1134,600,3177,1,1,2,0,1,TA,8,Mod,1,Gd,Attchd,1995.0,RFn,0,160,TA,TA,Y,230,133,86,0,127,0,,MnPrv,,,1,2009,WD,Normal,Wd Sdng,VinylSd,AllPub,250175.0
33,20,RL,22.0,12351.0,CollgCr,Reg,Sev,6,5,1948,1954,,100.0,Fa,Fa,Gd,TA,Av,Unf,1155,83,275,TA,Y,SBrkr,1027,1200,2341,0,1,2,1,1,TA,5,Typ,1,Gd,Attchd,1995.0,Fin,0,114,TA,TA,Y,55,208,90,0,96,0,,,,,1,2009,WD,Normal,Wd Sdng,VinylSd,AllPub,171171.0
34,120,RM,46.0,10019.0,Somerst,IR1,Sev,4,4,1991,1989,BrkFace,0.0,Ex,Fa,TA,Gd,No,ALQ,604,77,1338,TA,Y,SBrkr,689,900,3157,1,0,2,0,3,TA,8,Min1,2,,Attchd,2005.0,Fin,0,440,Gd,TA,Y,133,29,174,0,92,0,,,,,8,2008,WD,Normal,Wd Sdng,HdBoard,AllPub,243429.0
35,20,RL,80.0,10680.0,NAmes,Reg,Gtl,9,3,1976,1953,Stone,,TA,Gd,TA,TA,No,Unf,401,968,792,Gd,Y,SBrkr,1713,1200,4460,1,0,3,0,1,TA,4,Mod,1,Gd,Attchd,2005.0,RFn,1,357,TA,,Y,262,256,130,0,28,0,,,,,5,2009,WD,Normal,HdBoard,VinylSd,AllPub,372830.0
36,70,RL,101.0,13548.0,CollgCr,IR1,Sev,8,6,1923,1958,,0.0,Fa,Fa,TA,TA,Av,Unf,704,156,1720,TA,Y,SBrkr,1376,1200,2474,1,0,3,0,1,TA,8,Mod,0,TA,Attchd,2005.0,Unf,1,325,,TA,Y,398,152,155,0,34,0,,,,,9,2007,WD,Normal,HdBoard,VinylSd,AllPub,246281.0
37,20,RL,106.0,6287.0,OldTown,IR1,Gtl,5,3,1934,1966,,100.0,TA,Gd,Gd,TA,No,GLQ,573,819,1601,Ex,Y,FuseA,1558,1200,3137,0,1,3,0,5,TA,10,Min1,0,,Detchd,1995.0,RFn,2,781,TA,Gd,Y,350,280,99,0,19,0,,MnPrv,,,3,2009,New,Normal,Wd Sdng,Wd Sdng,AllPub,269662.0
38,60,RM,72.0,10436.0,CollgCr,IR1,Mod,7,5,1965,1998,Stone,100.0,Fa,Fa,TA,TA,No,Unf,1116,357,1103,Ex,Y,SBrkr,1333,600,2053,1,0,2,1,5,TA,7,Min1,0,,Attchd,1995.0,Unf,0,762,TA,Gd,Y,129,207,171,0,149,500,,,,,4,2009,WD,Abnorml,HdBoard,HdBoard,AllPub,211110.0
39,60,RL,88.0,6486.0,OldTown,Reg,Mod,3,3,1980,1975,Stone,0.0,Gd,TA,Gd,TA,No,ALQ,537,948,1348,Gd,Y,SBrkr,2117,0,2268,1,0,2,0,3,Ex,8,Min1,2,Gd,Detchd,,RFn,0,405,TA,Gd,Y,98,93,120,0,46,500,,,,,6,2009,WD,Normal,Wd Sdng,Wd Sdng,AllPub,193038.0
40,60,FV,88.0,8101.0,NAmes,Reg,Gtl,3,5,2007,1999,,0.0,Ex,Fa,Gd,TA,No,Unf,908,488,35,TA,Y,SBrkr,1391,900,1215,0,0,1,0,2,TA,7,Min1,2,,Attchd,1995.0,Unf,2,530,TA,TA,P,271,123,141,0,5,0,,,,,1,2007,,Normal,Wd Sdng,Wd Sdng,AllPub,126950.0
41,60,RL,56.0,10355.0,CollgCr,Reg,Sev,6,8,1966,1960,BrkFace,,Fa,TA,Ex,TA,Av,ALQ,135,569,1155,TA,Y,SBrkr,1679,900,4143,0,1,3,1,5,TA,5,Mod,1,,Attchd,1995.0,,2,551,,TA,Y,77,71,151,0,140,0,,,,,7,2008,WD,Normal,VinylSd,VinylSd,AllPub,323367.0
42,20,FV,36.0,14535.0,OldTown,IR2,Gtl,3,5,1991,1958,Stone,0.0,Gd,TA,TA,Gd,No,Unf,1107,605,494,TA,Y,SBrkr,1175,1200,2908,1,0,2,0,4,TA,5,Typ,0,,Attchd,2005.0,Fin,1,166,TA,TA,Y,362,113,103,0,45,0,,MnPrv,,,1,2009,WD,Abnorml,Wd Sdng,Wd Sdng,AllPub,227548.0
43,20,RM,71.0,7082.0,Somerst,Reg,Mod,8,6,1930,1981,,,Fa,Fa,TA,TA,No,ALQ,860,517,89,TA,Y,SBrkr,760,900,1294,1,0,1,0,2,TA,9,Mod,1,,Attchd,1995.0,,2,91,TA,TA,Y,222,271,29,0,33,0,,,,,7,2008,New,Normal,VinylSd,VinylSd,AllPub,178338.0
44,20,RL,35.0,8704.0,NAmes,IR2,Gtl,5,5,2001,2006,BrkFace,0.0,Gd,Fa,TA,TA,No,GLQ,795,3,1223,Ex,Y,SBrkr,729,600,754,1,1,2,0,5,TA,10,Min1,2,,Detchd,,Unf,0,343,Gd,TA,Y,47,153,126,0,141,0,,MnPrv,,,12,2007,WD,Normal,VinylSd,HdBoard,AllPub,110930.0
45,20,RM,64.0,12668.0,OldTown,IR2,Gtl,10,5,1996,1996,,0.0,Gd,TA,TA,TA,No,ALQ,150,589,936,Ex,Y,FuseA,933,1200,2279,0,1,3,1,3,Gd,7,Min1,0,TA,Attchd,1980.0,Unf,1,124,TA,,Y,266,153,160,0,141,0,,MnPrv,,,10,2010,WD,Normal,Wd Sdng,VinylSd,AllPub,287020.0
46,70,RL,82.0,5728.0,NAmes,Reg,Gtl,9,5,1957,1979,,100.0,Gd,Fa,Ex,TA,No,GLQ,1098,830,315,Gd,Y,SBrkr,934,600,3211,1,0,2,1,4,TA,11,Typ,2,,Attchd,1980.0,RFn,3,403,TA,TA,Y,313,79,68,0,9,500,,,,,4,2010,WD,Normal,Wd Sdng,Wd Sdng,AllPub,271206.0
47,70,RL,42.0,9983.0,NAmes,IR2,Gtl,5,6,1950,1972,,200.0,TA,Fa,TA,TA,No,Unf,510,971,1366,TA,Y,SBrkr,1435,1200,2965,1,0,3,0,2,TA,11,Min1,0,Gd,Attchd,1980.0,RFn,2,171,TA,TA,Y,359,167,131,0,107,0,,MnPrv,,,1,2009,WD,Partial,Wd Sdng,VinylSd,AllPub,299923.0
48,70,FV,71.0,8164.0,OldTown,Reg,Gtl,6,4,1908,2005,BrkFace,100.0,TA,Gd,TA,,No,ALQ,127,718,144,Ex,Y,SBrkr,2072,900,2815,0,1,2,1,4,Gd,11,Min1,1,,Detchd,2005.0,Unf,3,555,TA,TA,Y,339,121,103,0,48,0,,,,,6,2008,WD,Normal,Wd Sdng,VinylSd,AllPub,223613.0
49,60,RL,95.0,6874.0,OldTown,Reg,Mod,10,4,1956,1996,Stone,0.0,Fa,Gd,Gd,TA,No,ALQ,1024,93,1397,Ex,Y,SBrkr,1058,1200,2214,0,1,1,1,1,TA,5,Typ,2,,Detchd,1980.0,Fin,2,750,TA,TA,Y,128,23,81,0,123,500,,,,,9,2007,WD,Partial,VinylSd,VinylSd,AllPub,273396.0
50,70,RM,77.0,9358.0,Somerst,Reg,Mod,5,7,1972,2002,,200.0,Gd,Fa,Gd,TA,No,Unf,99,361,1979,Ex,Y,SBrkr,1837,600,730,1,0,3,0,5,Gd,6,Mod,2,Gd,Attchd,2005.0,Unf,0,716,TA,TA,Y,202,74,179,0,36,0,,,,,1,2007,WD,Partial,HdBoard,VinylSd,AllPub,144084.0
51,120,RL,80.0,10705.0,Somerst,Reg,Gtl,10,8,2007,1962,BrkFace,0.0,Fa,Gd,Ex,TA,Mn,Unf,814,193,1355,TA,Y,SBrkr,1165,0,2334,0,0,2,0,1,Gd,6,Typ,2,,,1995.0,Fin,2,243,TA,TA,Y,393,271,51,0,87,0,,,,,10,2010,WD,Abnorml,HdBoard,VinylSd,AllPub,296737.0
52,60,RL,88.0,6812.0,NAmes,IR1,Gtl,7,6,1991,1971,,0.0,TA,TA,TA,TA,Av,Unf,560,475,0,TA,Y,SBrkr,1138,900,1275,0,1,1,1,5,Gd,4,Min1,2,,Detchd,1995.0,RFn,2,338,TA,,Y,4,146,135,0,33,0,,,,Grvl,2,2009,WD,Normal,HdBoard,VinylSd,AllPub,164662.0
53,60,,105.0,10037.0,Somerst,Reg,Sev,3,6,1950,1966,,200.0,Gd,Gd,TA,Gd,No,ALQ,315,700,1762,Gd,Y,FuseA,1369,600,3416,0,0,2,1,1,TA,4,Min1,1,TA,Detchd,1995.0,,1,284,TA,Gd,Y,129,131,159,0,136,0,,,,,7,2008,WD,Partial,Wd Sdng,HdBoard,AllPub,272233.0
54,120,RM,73.0,9433.0,Somerst,Reg,Mod,5,3,1931,1994,Stone,100.0,Ex,Fa,TA,TA,Gd,Unf,290,306,52,Ex,Y,SBrkr,858,900,3804,0,1,1,1,4,Gd,6,Mod,0,,Attchd,2005.0,Fin,2,864,TA,Gd,Y,203,40,134,0,121,0,,,,,6,2009,New,Normal,VinylSd,VinylSd,AllPub,238632.0
55,120,RL,95.0,6170.0,NAmes,IR1,Gtl,4,8,1967,1980,Stone,0.0,Gd,TA,TA,TA,No,Unf,1071,348,1076,Gd,Y,SBrkr,993,1200,1501,0,1,2,0,4,Gd,7,Mod,0,TA,Detchd,1995.0,Unf,0,461,TA,TA,Y,303,75,34,0,36,500,,,,,10,2006,New,Normal,HdBoard,VinylSd,AllPub,152186.0
56,120,RL,69.0,14272.0,NAmes,Reg,Gtl,5,5,1950,2003,,0.0,Ex,Gd,Gd,TA,No,ALQ,404,979,176,Gd,Y,SBrkr,759,1200,1188,1,0,2,1,2,Gd,6,Typ,0,Gd,Attchd,2005.0,Unf,3,229,TA,TA,Y,132,239,153,0,63,0,,MnPrv,,,7,2009,WD,Normal,VinylSd,HdBoard,AllPub,177706.0
57,60,RM,59.0,12419.0,Somerst,Reg,Sev,8,3,1935,1951,BrkFace,0.0,Fa,Gd,Gd,TA,Gd,Unf,1167,121,948,TA,Y,SBrkr,1696,600,3610,0,0,3,0,2,TA,6,Min1,2,,Attchd,2005.0,RFn,0,187,Gd,TA,Y,103,27,173,0,55,0,,,,,7,2008,New,Partial,VinylSd,Wd Sdng,AllPub,288718.0
58,70,RL,76.0,6919.0,Somerst,IR1,Sev,4,4,1931,2010,BrkFace,100.0,Fa,Gd,TA,TA,No,,480,430,1408,TA,Y,SBrkr,1204,900,913,1,1,2,0,5,TA,11,Mod,2,Gd,Attchd,1980.0,Unf,1,212,Gd,TA,Y,221,296,100,0,98,0,,MnPrv,,,4,2007,New,Partial,HdBoard,VinylSd,AllPub,170513.0
59,120,RM,58.0,7510.0,NAmes,IR1,Sev,6,7,1953,1977,BrkFace,0.0,Ex,TA,Ex,,,ALQ,771,935,816,Gd,Y,SBrkr,2124,1200,2563,1,1,2,1,2,TA,5,Typ,2,,Attchd,1995.0,Fin,1,748,Gd,TA,Y,166,54,182,0,31,0,,,Shed,Grvl,8,2006,New,Partial,VinylSd,Wd Sdng,AllPub,245098.0
60,70,RM,59.0,11285.0,NAmes,Reg,Sev,5,6,1919,1965,Stone,200.0,Ex,Fa,Gd,TA,Gd,Unf,247,55,14,Gd,Y,SBrkr,571,600,1488,0,1,1,1,2,Gd,4,Min1,2,Gd,Attchd,,RFn,1,14,TA,TA,Y,398,162,188,0,55,500,,,,Grvl,5,2010,WD,Normal,HdBoard,VinylSd,AllPub,147119.0
61,120,RM,58.0,7718.0,NAmes,Reg,Mod,10,7,1930,2000,,100.0,Fa,Gd,TA,TA,Gd,Unf,1107,732,619,Ex,Y,SBrkr,1112,600,1783,1,0,2,0,5,TA,5,Mod,2,,Attchd,1980.0,,1,0,TA,TA,N,27,105,151,0,145,0,,MnPrv,,Grvl,7,2010,WD,Partial,Wd Sdng,VinylSd,AllPub,199376.0
62,70,RL,24.0,5157.0,NAmes,Reg,Gtl,4,8,1993,1998,Stone,,Fa,Fa,Ex,Gd,Gd,ALQ,1026,755,1287,Ex,Y,SBrkr,1806,0,1563,1,1,2,1,5,TA,8,Mod,1,TA,Detchd,1995.0,RFn,1,323,TA,TA,Y,24,73,150,0,83,500,,,,,1,2009,WD,Normal,Wd Sdng,Wd Sdng,AllPub,175456.0
63,70,RM,72.0,12267.0,Somerst,IR1,Gtl,4,3,2003,1999,Stone,0.0,TA,TA,Gd,Gd,No,Unf,230,431,1107,TA,Y,SBrkr,1039,900,3519,1,0,2,0,1,Gd,6,Mod,2,,Attchd,1995.0,RFn,0,372,TA,TA,Y,285,123,101,0,72,0,,,,,11,2006,WD,Normal,HdBoard,HdBoard,AllPub,265352.0
64,60,RL,45.0,8979.0,Somerst,IR2,Sev,7,7,1974,1973,BrkFace,200.0,TA,TA,Gd,TA,No,GLQ,637,307,1745,TA,Y,SBrkr,1996,0,4453,0,0,3,0,5,Gd,10,Min1,1,TA,Detchd,1995.0,Fin,3,192,TA,TA,Y,375,62,118,0,143,0,,,,,9,2008,WD,Normal,VinylSd,Wd Sdng,AllPub,366282.0
65,120,RL,68.0,15869.0,Somerst,IR1,Sev,4,4,1906,2009,Stone,0.0,Gd,Gd,TA,TA,No,GLQ,610,863,117,Ex,Y,SBrkr,2086,600,3414,1,0,1,1,4,Gd,4,Min1,0,Gd,,1995.0,RFn,1,842,Gd,TA,Y,95,94,91,0,144,0,,MnPrv,,,4,2006,WD,Normal,Wd Sdng,VinylSd,AllPub,214562.0
66,20,RL,99.0,9969.0,OldTown,Reg,Mod,6,3,1959,1954,BrkFace,0.0,Gd,Gd,Ex,TA,Av,GLQ,477,398,1806,Ex,Y,SBrkr,950,1200,2348,1,1,2,1,3,Ex,5,Mod,0,Gd,Detchd,1995.0,RFn,1,429,TA,Gd,Y,13,94,196,0,138,0,,,,,6,2010,WD,Normal,Wd Sdng,Wd Sdng,AllPub,251096.0
